customer_id,customer_name,email,phone,address,area,pincode,registration_date,customer_segment,total_orders,avg_order_value,ETL_updated_ts,ETL_DATASOURCE_NAME,customer_key
97475543,Niharika Nagi,ektataneja@example.org,912987579691,23 Nayar Path Bihar Sharif154625,Udupi,321865,2023-05-13,PREMIUM,13,451.92,2025-10-05 23:04:38.706907,1,1241871067
22077605,Megha Sachar,vedant45@example.com,915123179717,51302 Buch ChowkSrinagar570271,Aligarh,149394,2024-06-18,INACTIVE,4,825.48,2025-10-05 23:04:38.706907,1,869470310
47822591,Hema Bahri,samiazaan@example.com,910034076149,941Anne Street Darbhanga 186125,Begusarai,621411,2024-09-25,REGULAR,17,1969.81,2025-10-05 23:04:38.706907,1,1201338531
79726146,Zaitra Vig,ishanvi87@example.org,916264232390,4394 Ghosh Alappuzha 635655,Kozhikode,826054,2023-10-04,NEW,4,220.09,2025-10-05 23:04:38.706907,1,2011880052
57102800,Januja Verma,atideshpande@example.org,917293526596,06Om Ambarnath 477463,Ichalkaranji,730539,2024-03-22,INACTIVE,14,578.14,2025-10-05 23:04:38.706907,1,1294942132
54748429,Darsh More,ynayar@example.org,912582120513,26961Salvi Circle Durg 406361,Visakhapatnam,883122,2024-04-22,NEW,2,669.35,2025-10-05 23:04:38.706907,1,32916261
49152878,Patrick Sandhu,zehaanmahajan@example.org,912413014420,304Tara Road Gandhinagar559930,Gwalior,649817,2024-09-13,PREMIUM,4,973.62,2025-10-05 23:04:38.706907,1,383875556
16379942,Harshil Kuruvilla,pathakanirudh@example.org,913807361990,3762 Basu ChowkSikar 515907,Orai,332997,2024-04-10,INACTIVE,15,1370.56,2025-10-05 23:04:38.706907,1,1172433711
11071601,Ojas Ahuja,sneha11@example.com,912865080618,HNo 99Kade RoadRamgarh 695009,Buxar,528426,2023-07-04,INACTIVE,17,1950.54,2025-10-05 23:04:38.706907,1,600586585
68164013,Netra Chander,hwarrior@example.org,917645901970,HNo 94Gupta Path Hospet831040,Malegaon,4515,2023-06-29,NEW,1,1061.82,2025-10-05 23:04:38.706907,1,427652708
80404839,Kashish Dora,pushti81@example.net,912463646408,HNo 24Pant Street Mathura 348430,Katni,642727,2023-04-13,INACTIVE,10,1537.35,2025-10-05 23:04:38.706907,1,1212283533
27038630,Megha Thakkar,zinalsarna@example.com,916726295759,HNo 81Sama Street Danapur137828,Fatehpur,393286,2023-04-27,REGULAR,11,1307.28,2025-10-05 23:04:38.706907,1,1746765374
1655637,Turvi Radhakrishnan,mpandit@example.org,919130065165,HNo 404 Bhalla ChowkVisakhapatnam 048875,Ichalkaranji,548633,2023-09-17,REGULAR,19,723.95,2025-10-05 23:04:38.706907,1,1177311084
75566105,Dipta Doctor,peterdhaliwal@example.org,912758132658,586Badami Zila Madhyamgram394655,Hyderabad,871594,2024-03-20,REGULAR,18,1432.53,2025-10-05 23:04:38.706907,1,145987509
23961725,Zayyan Buch,kalpithayre@example.net,913139982063,7167 Oommen Ganj Purnia 250900,Bhiwandi,629210,2024-05-11,REGULAR,6,367.74,2025-10-05 23:04:38.706907,1,1256437067
67749649,Oviya Mitra,aaravdugar@example.com,919890802849,103 Mahajan CircleSilchar 256345,MiraBhayandar,222577,2024-04-10,INACTIVE,11,281.16,2025-10-05 23:04:38.706907,1,675994587
61461253,Arin Setty,naidushivani@example.org,917060856166,63164 Kari ChowkMoradabad 624164,Amravati,381991,2024-08-29,INACTIVE,4,789.5,2025-10-05 23:04:38.706907,1,1323134922
30619659,Lohit Kalla,vincent81@example.com,914466575315,58882 RamanathanNashik 371218,Kochi,400041,2024-09-18,INACTIVE,14,1992.42,2025-10-05 23:04:38.706907,1,7282893
50229203,Rushil Dhingra,htella@example.org,910837043539,HNo 99Ravel StreetAvadi 655413,Tiruchirappalli,598757,2023-09-14,REGULAR,7,1731.87,2025-10-05 23:04:38.706907,1,1237471835
13567338,Wahab Borah,bhattlakshit@example.com,912286009144,HNo 739 Dewan MargJamshedpur 475311,HubliDharwad,509163,2024-10-14,PREMIUM,10,1054.12,2025-10-05 23:04:38.706907,1,334133156
7591711,Triya Kakar,xshetty@example.net,913247466748,HNo 65 Ratti Circle Nellore187667,Nagercoil,792550,2024-01-30,REGULAR,12,1494.0,2025-10-05 23:04:38.706907,1,734965663
22102079,Vrinda Lalla,balakrishnanyutika@example.net,917567554265,HNo 73Gupta Road Barasat 506282,Alwar,595920,2024-06-21,PREMIUM,10,615.86,2025-10-05 23:04:38.706907,1,459976810
48910430,Janani Prasad,abhirambabu@example.com,918550270063,149Pall Path Aurangabad876025,Bardhaman,125846,2024-09-04,PREMIUM,3,1474.04,2025-10-05 23:04:38.706907,1,2017634126
27604184,Tripti Nadig,tmaster@example.com,918533188202,0418Maharaj ZilaPudukkottai 529324,Nandyal,279361,2023-10-06,NEW,9,1108.86,2025-10-05 23:04:38.706907,1,946747842
